001000000000000000	000100000000001000000	0000001000000001000	0000000000000	0000001000000000000	00000100000000000000000
000000000000100000	000000000000000000000	0000000100000000101	0000000000000	0000000000000010000	00000000000000000000000
000000100000100000	000000000000000000000	0000000100000000000	1000000000000	0000000000000010000	00000000000000000000000
000000000000000000	100001000001010010000	0000000000000000000	0100100000101	0010000001010000011	00000010000000000000001
000000000000000000	100001000000010010000	0000000000000000000	0100100000100	0010000000000000000	00000001000000000000001
000010000000000000	100000000000000000000	0000000000000000000	0000101000000	1010000000000000000	00000000000100000000000
000000000000000000	100001000001010010000	0000000000000000000	0100100000101	0010000001010000011	00000010000000000000001
000000000000000000	100001000000010010000	1000000000000000000	0100100000100	0010000000000000000	00000001000000000000001
000000000000010000	010000001000000000000	0000000010000000000	0000000010000	0000000000000100000	00001000110010100010000
000000000000000000	100001000001010010000	0000000000000000000	0100100000101	0010000001010000011	00000010000000000000001
000000000000000000	000000000000000000000	0001000000000000000	0001000000000	0000000000000000000	00000000000001000000100
000000000000100000	000000000000000000000	0000000100000000101	0000000000000	0000000000000010000	00000000000000000000000
000010000000000000	100000000000000000000	0000000000000000000	0000101000000	1010000000000000000	00000000000100000000000
000000000000100000	001000000000100000000	0000000100000000000	0000000001000	0000010000001010000	10000000000000000000000
000000000000100000	001000000000100000000	0000000100100000000	0000000001000	0000010000001010000	10000000000000000000000
000000100000100000	000000000000000000000	0000000100000000000	1000000000000	0000000000000010000	00000000000000000000000
000010000000000000	100000000000000000000	0000000000000000000	0000101000000	1010000000000000000	00000000000100000000000
000000000000000000	000000000000000000000	0001000000000000000	0001000000000	0000000000000000000	00000000000001000000100
100000000110100000	000000000000000000000	0000000100000000010	0000000000010	0000000000000010000	00000000000000000000000
000000000000101000	000000000000000000000	0000000100000000101	0000000000000	0000000100000010000	00000000000000000000000
100001000000100000	000000000000000000000	0000000100000000010	0000000000000	0000000000000010000	00000000000000000000000
000000000000101000	000000000000000000000	0000000100000000101	0000000000000	0000000100000010000	00000000000000000000000
001000000000000000	000100000000001000010	0000000000000001000	0000000000000	0000001000000000000	01100100000000000000000
100001000000100000	000000000000000000000	0000000100000000010	0000000000000	0000000000000010000	00000000000000000000000
000010000000000000	100000000000000000000	0000000000000000000	0000101000000	1010000000000000000	00000000000100000000000
000000000000000000	100001000000010010000	0000000000000000000	0100100000100	0010000000000000000	00000001000000000100001
000000000000101000	000000000000000000000	0000000100000000101	0000000000000	0000000100000010000	00000000000000000000000
000000000000000000	100001000000010010000	1000000000000000000	0100100000100	0010000000000000000	00000001000000000000011
001000000000000000	000100010000001100000	0000010000000001000	0000000000000	0000001000000000000	00000100000000000000000
100001000000100000	000000000000000000000	0000000100000000010	0000000000000	0000000000000010000	00000000000000000000000
010000000000000000	000000100000000000000	0001000000000000000	0001000000000	0000000000000000000	00000000000000000000100
001000000000000000	000100000000001100000	0000010000000001000	0000000000000	0000001000000000000	00000100000000000000000
100000000110100000	000000000000000000000	0000000100000000010	0000000000010	0000000000000010000	00000000000000000000000
000000000000000000	000000000000000000000	0001000000000000000	0001000000000	0000000000000000000	00000000000001000000100
000000000000100000	000000000000000000000	0000000100000000101	0000000000000	0000000000000010000	00000000000000000000000
000000000000000000	100001000001010010000	0000000000000000000	0100100000101	0010000001010000011	00000010000000010000001
000000100000100000	000000000000000000000	0000000100000000000	1000000000000	0000000000000010100	00000000000000000000000
000000000000000000	100001000001010010000	0000000000000000000	0100100000101	0010000001010000011	00000010000000000000001
000010000000000000	100000000000000000000	0000000000000000000	0000101000000	1010000000000000000	00000000000100000000000
000000000000100000	000000000000000000000	0000000100000000101	0000000000000	0000000000000010000	00000000000000000000000
000000000000100000	000000000000000000000	0000000100000000101	0000000000000	0000000000000010000	00000000000000000000000
000000000000000000	100001000001010010000	0000000000000000000	0100100000101	0010000001010000011	00000010000000010000001
000010000000000000	100000000000000000000	0000000000000000000	0000101000000	1010000000000000000	00000000000100000000000
000000000000000000	100001000000010010000	0000000000000000000	0100100000100	0010000000000000000	00000001000000000000001
000000000000000000	100001000000010010000	0000000000000000000	0100100000100	0010000000000000000	00000001000000000000001
100001000000100000	000000000000000000000	0000000100000100010	0000000000000	0000000000000010000	00000000000000000000000
000000000000000000	100001000000010010000	0000000000000000000	0100100000100	0010000000000000000	00000001000000000000001
000000000000000000	100001000001010010000	0000000000000000000	0100100000101	0010000001010000011	00000010000000000000001
100000000100100000	000000000000000000000	0000000100000000010	0000000000000	0000000000000010000	00000000001000000000000
000000000000010000	010000001000000000000	0000000010000000000	0000000010000	0000000000000100000	00001000110010100010000
000000000000000000	000000000000000000000	0001000000000000000	0001000000000	0100000000000000000	00000000000001000000100
000000000000101000	000000000000000000000	0000000100000000101	0000000000000	0000000100000010000	00000000000000000000000
000010000000000000	100000000000000000000	0000000000000000000	0000101000000	1010000000000000000	00000000000100000000000
100001000000100000	000000000000000000000	0000000100000000010	0000000000000	0000000000000010000	00000000000000000000000
000000000000000000	100001000000010010000	0000000000000000000	0100100000100	0010000000000000000	00000001000000000000001
000000000000100000	001000000000100000000	0000000100000000000	0000000001000	0000010000001010000	10000000000000000000000
000000000000100000	001000000000000000000	0000000101000000000	0000010100000	0000000000000010000	00010000000000000001000
